cycle_number,max_capacity_in_Ah,mean_temperature_in_C,max_abs_current_in_A,c_rate,nominal_capacity_Ah,depth_of_discharge,depth_of_charge,anode_material,cathode_material,electrolyte_material,cell_id,SOH,source_file
19,0.7887278,25,2.0002949,2.0002949,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.998085267,NA-ion_270040-1-1-64
20,0.7883922,25,2.000288,2.000288,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.997660587,NA-ion_270040-1-1-64
21,0.7881226,25,2.0002997,2.0002997,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.997319425,NA-ion_270040-1-1-64
22,0.7878351,25,2.0002837,2.0002837,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.996955612,NA-ion_270040-1-1-64
23,0.7875623,25,2.0002768,2.0002768,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.996610401,NA-ion_270040-1-1-64
24,0.7873369,25,2.0002878,2.0002878,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.996325171,NA-ion_270040-1-1-64
25,0.7871155,25,2.0002835,2.0002835,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.996045003,NA-ion_270040-1-1-64
26,0.7869512,25,2.0003169,2.0003169,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.995837092,NA-ion_270040-1-1-64
27,0.7865674,25,2.0003088,2.0003088,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.995351418,NA-ion_270040-1-1-64
28,0.7862366,25,2.0003011,2.0003011,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.994932811,NA-ion_270040-1-1-64
29,0.7860691,25,2.0002968,2.0002968,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.99472085,NA-ion_270040-1-1-64
30,0.7857884,25,2.0003107,2.0003107,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.994365642,NA-ion_270040-1-1-64
31,0.7856206,25,2.0003066,2.0003066,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.994153302,NA-ion_270040-1-1-64
32,0.7852886,25,2.0003011,2.0003011,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.993733177,NA-ion_270040-1-1-64
33,0.7851219,25,2.0003011,2.0003011,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.993522228,NA-ion_270040-1-1-64
34,0.7847349,25,2.000294,2.000294,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.993032504,NA-ion_270040-1-1-64
35,0.7845138,25,2.0003071,2.0003071,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.992752716,NA-ion_270040-1-1-64
36,0.7842921,25,2.0002878,2.0002878,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.992472169,NA-ion_270040-1-1-64
37,0.7840145,25,2.0002856,2.0002856,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.992120884,NA-ion_270040-1-1-64
38,0.7837869,25,2.000294,2.000294,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.99183287,NA-ion_270040-1-1-64
39,0.7835639,25,2.000278,2.000278,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.991550678,NA-ion_270040-1-1-64
40,0.7832853,25,2.0002871,2.0002871,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.991198127,NA-ion_270040-1-1-64
41,0.7830056,25,2.000283,2.000283,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.990844184,NA-ion_270040-1-1-64
42,0.7827299,25,2.0002787,2.0002787,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.990495303,NA-ion_270040-1-1-64
43,0.7825053,25,2.000288,2.000288,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.990211086,NA-ion_270040-1-1-64
44,0.7822231,25,2.0002835,2.0002835,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.98985398,NA-ion_270040-1-1-64
45,0.7820578,25,2.0002859,2.0002859,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.989644803,NA-ion_270040-1-1-64
46,0.7817764,25,2.000262,2.000262,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.989288709,NA-ion_270040-1-1-64
47,0.781555,25,2.0002768,2.0002768,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.989008542,NA-ion_270040-1-1-64
48,0.7813317,25,2.0002589,2.0002589,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.98872597,NA-ion_270040-1-1-64
49,0.7810512,25,2.0002551,2.0002551,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.988371014,NA-ion_270040-1-1-64
50,0.7807782,25,2.0002711,2.0002711,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.98802555,NA-ion_270040-1-1-64
51,0.7805675,25,2.0003088,2.0003088,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.987758923,NA-ion_270040-1-1-64
52,0.7802451,25,2.0003955,2.0003955,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.987350946,NA-ion_270040-1-1-64
53,0.7799935,25,2.0004039,2.0004039,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.987032562,NA-ion_270040-1-1-64
54,0.7797278,25,2.0004523,2.0004523,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.986696335,NA-ion_270040-1-1-64
55,0.7794494,25,2.0004392,2.0004392,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.986344038,NA-ion_270040-1-1-64
56,0.7792298,25,2.0004201,2.0004201,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.986066148,NA-ion_270040-1-1-64
57,0.7788947,25,2.0004382,2.0004382,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.9856421,NA-ion_270040-1-1-64
58,0.7786767,25,2.0004451,2.0004451,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.985366235,NA-ion_270040-1-1-64
59,0.7784032,25,2.0004454,2.0004454,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.985020138,NA-ion_270040-1-1-64
60,0.7781763,25,2.0004544,2.0004544,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.98473301,NA-ion_270040-1-1-64
61,0.7778952,25,2.000448,2.000448,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.984377296,NA-ion_270040-1-1-64
62,0.7776201,25,2.0004375,2.0004375,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.984029174,NA-ion_270040-1-1-64
63,0.7774037,25,2.0004437,2.0004437,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.983755333,NA-ion_270040-1-1-64
64,0.7771264,25,2.0004592,2.0004592,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.983404428,NA-ion_270040-1-1-64
65,0.7767855,25,2.0004287,2.0004287,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.98297304,NA-ion_270040-1-1-64
66,0.7765694,25,2.0004523,2.0004523,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.982699579,NA-ion_270040-1-1-64
67,0.7762957,25,2.0004494,2.0004494,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.982353229,NA-ion_270040-1-1-64
68,0.7759599,25,2.0004375,2.0004375,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.981928296,NA-ion_270040-1-1-64
69,0.7756829,25,2.0004683,2.0004683,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.98157777,NA-ion_270040-1-1-64
70,0.7754559,25,2.0004349,2.0004349,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.981290515,NA-ion_270040-1-1-64
71,0.7751773,25,2.0004268,2.0004268,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.980937965,NA-ion_270040-1-1-64
72,0.7749022,25,2.0004473,2.0004473,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.980589843,NA-ion_270040-1-1-64
73,0.7745625,25,2.0004251,2.0004251,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.980159974,NA-ion_270040-1-1-64
74,0.7742854,25,2.0004475,2.0004475,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.979809321,NA-ion_270040-1-1-64
75,0.7740086,25,2.0004399,2.0004399,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.979459049,NA-ion_270040-1-1-64
76,0.7737857,25,2.0004287,2.0004287,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.979176983,NA-ion_270040-1-1-64
77,0.773447,25,2.0004182,2.0004182,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.978748379,NA-ion_270040-1-1-64
78,0.773228,25,2.000442,2.000442,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.978471248,NA-ion_270040-1-1-64
79,0.772894,25,2.0004196,2.0004196,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.978048593,NA-ion_270040-1-1-64
80,0.7726169,25,2.0004323,2.0004323,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.97769794,NA-ion_270040-1-1-64
81,0.7722321,25,2.0004528,2.0004528,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.977211,NA-ion_270040-1-1-64
82,0.772062,25,2.000421,2.000421,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.976995749,NA-ion_270040-1-1-64
83,0.7717736,25,2.0004115,2.0004115,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.976630797,NA-ion_270040-1-1-64
84,0.7714465,25,2.0004287,2.0004287,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.976216873,NA-ion_270040-1-1-64
85,0.7711762,25,2.0004361,2.0004361,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.975874825,NA-ion_270040-1-1-64
86,0.7708984,25,2.0004342,2.0004342,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.975523287,NA-ion_270040-1-1-64
87,0.7706228,25,2.0004599,2.0004599,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.975174532,NA-ion_270040-1-1-64
88,0.7702883,25,2.0004756,2.0004756,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.974751244,NA-ion_270040-1-1-64
89,0.7699608,25,2.0004659,2.0004659,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.974336813,NA-ion_270040-1-1-64
90,0.7696866,25,2.000469,2.000469,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.97398983,NA-ion_270040-1-1-64
91,0.7694044,25,2.0004439,2.0004439,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.973632724,NA-ion_270040-1-1-64
1,0.8965244,25,5.5005536,5.5005536,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,1,NA-ion_270040-1-2-63
2,0.9005156,25,5.5004706,5.5004706,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,1,NA-ion_270040-1-2-63
3,0.8999085,25,5.5005369,5.5005369,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,1,NA-ion_270040-1-2-63
4,0.8989956,25,5.5005631,5.5005631,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,1,NA-ion_270040-1-2-63
5,0.8982275,25,5.501193,5.501193,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,1,NA-ion_270040-1-2-63
6,0.8976158,25,5.5005603,5.5005603,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,1,NA-ion_270040-1-2-63
7,0.8968529,25,5.5005393,5.5005393,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,1,NA-ion_270040-1-2-63
8,0.8962418,25,5.500535,5.500535,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.999684783,NA-ion_270040-1-2-63
9,0.8956234,25,5.5004797,5.5004797,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.998995008,NA-ion_270040-1-2-63
10,0.8950109,25,5.5004845,5.5004845,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.998311814,NA-ion_270040-1-2-63
11,0.8944021,25,5.5004883,5.5004883,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.997632747,NA-ion_270040-1-2-63
12,0.893638,25,5.5004568,5.5004568,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.996780456,NA-ion_270040-1-2-63
13,0.8931777,25,5.5004606,5.5004606,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.996267029,NA-ion_270040-1-2-63
14,0.8925684,25,5.5005026,5.5005026,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.995587404,NA-ion_270040-1-2-63
15,0.8922583,25,5.5003996,5.5003996,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.995241513,NA-ion_270040-1-2-63
16,0.891498,25,5.500423,5.500423,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.99439346,NA-ion_270040-1-2-63
17,0.8910387,25,5.5004797,5.5004797,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.993881148,NA-ion_270040-1-2-63
18,0.8905815,25,5.5005093,5.5005093,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.993371179,NA-ion_270040-1-2-63
19,0.889976,25,5.5004873,5.5004873,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.992695793,NA-ion_270040-1-2-63
20,0.8895127,25,5.5004644,5.5004644,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.992179019,NA-ion_270040-1-2-63
21,0.8888987,25,5.5004497,5.5004497,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.991494152,NA-ion_270040-1-2-63
22,0.8882884,25,5.5004439,5.5004439,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.990813412,NA-ion_270040-1-2-63
23,0.8878286,25,5.5004354,5.5004354,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.990300543,NA-ion_270040-1-2-63
24,0.8872231,25,5.5004816,5.5004816,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.989625157,NA-ion_270040-1-2-63
25,0.8867589,25,5.5004635,5.5004635,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.98910738,NA-ion_270040-1-2-63
26,0.8860022,25,5.5004768,5.5004768,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.988263342,NA-ion_270040-1-2-63
27,0.8856924,25,5.5004382,5.5004382,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.987917786,NA-ion_270040-1-2-63
28,0.885085,25,5.5005441,5.5005441,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.98724028,NA-ion_270040-1-2-63
29,0.8843183,25,5.5005078,5.5005078,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.986385089,NA-ion_270040-1-2-63
30,0.8840172,25,5.5005107,5.5005107,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.986049236,NA-ion_270040-1-2-63
31,0.8832484,25,5.5005145,5.5005145,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.985191703,NA-ion_270040-1-2-63
32,0.8827924,25,5.500524,5.500524,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.984683072,NA-ion_270040-1-2-63
33,0.8821837,25,5.5005064,5.5005064,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.984004116,NA-ion_270040-1-2-63
34,0.8815677,25,5.5005064,5.5005064,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.983317018,NA-ion_270040-1-2-63
35,0.8809596,25,5.500556,5.500556,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.982638732,NA-ion_270040-1-2-63
36,0.8803507,25,5.5005469,5.5005469,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.981959554,NA-ion_270040-1-2-63
37,0.8797389,25,5.5005121,5.5005121,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.981277141,NA-ion_270040-1-2-63
38,0.879431,25,5.5004969,5.5004969,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.980933704,NA-ion_270040-1-2-63
39,0.8786641,25,5.5004802,5.5004802,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.980078289,NA-ion_270040-1-2-63
40,0.8780543,25,5.5004997,5.5004997,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.979398107,NA-ion_270040-1-2-63
41,0.8774461,25,5.5005465,5.5005465,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.978719709,NA-ion_270040-1-2-63
42,0.8769813,25,5.5004358,5.5004358,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.978201263,NA-ion_270040-1-2-63
43,0.8763756,25,5.5004687,5.5004687,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.977525654,NA-ion_270040-1-2-63
44,0.8759177,25,5.5005093,5.5005093,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.977014903,NA-ion_270040-1-2-63
45,0.875154,25,5.5004892,5.5004892,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.976163058,NA-ion_270040-1-2-63
46,0.8748482,25,5.5004997,5.5004997,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.975821963,NA-ion_270040-1-2-63
47,0.8737751,25,5.5004249,5.5004249,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.974625007,NA-ion_270040-1-2-63
48,0.8733191,25,5.5005064,5.5005064,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.974116377,NA-ion_270040-1-2-63
49,0.8727056,25,5.5004678,5.5004678,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.973432067,NA-ion_270040-1-2-63
50,0.8722532,25,5.5005102,5.5005102,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.972927452,NA-ion_270040-1-2-63
51,0.8716365,25,5.5004873,5.5004873,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.972239573,NA-ion_270040-1-2-63
52,0.8711828,25,5.5005174,5.5005174,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.971733508,NA-ion_270040-1-2-63
53,0.8705688,25,5.5004568,5.5004568,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.971048641,NA-ion_270040-1-2-63
54,0.8698055,25,5.5004578,5.5004578,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.970197242,NA-ion_270040-1-2-63
55,0.8695045,25,5.5005393,5.5005393,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.969861501,NA-ion_270040-1-2-63
56,0.8687395,25,5.500515,5.500515,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.969008205,NA-ion_270040-1-2-63
57,0.8682729,25,5.5004816,5.5004816,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.968487751,NA-ion_270040-1-2-63
58,0.8675111,25,5.5004873,5.5004873,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.967638025,NA-ion_270040-1-2-63
59,0.8670576,25,5.5004768,5.5004768,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.967132183,NA-ion_270040-1-2-63
60,0.8664483,25,5.5005398,5.5005398,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.966452558,NA-ion_270040-1-2-63
61,0.8659863,25,5.5005012,5.5005012,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.965937235,NA-ion_270040-1-2-63
62,0.8653762,25,5.5004969,5.5004969,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.965256718,NA-ion_270040-1-2-63
63,0.8647664,25,5.5005455,5.5005455,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.964576536,NA-ion_270040-1-2-63
64,0.8640057,25,5.5005312,5.5005312,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.963728037,NA-ion_270040-1-2-63
65,0.863699,25,5.5005579,5.5005579,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.963385938,NA-ion_270040-1-2-63
66,0.8629388,25,5.5005546,5.5005546,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.962537997,NA-ion_270040-1-2-63
67,0.8623247,25,5.5005493,5.5005493,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.961853018,NA-ion_270040-1-2-63
68,0.8617164,25,5.5005522,5.5005522,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.961174509,NA-ion_270040-1-2-63
69,0.8611,25,5.5004826,5.5004826,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.960486965,NA-ion_270040-1-2-63
70,0.8606441,25,5.5005827,5.5005827,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.959978446,NA-ion_270040-1-2-63
71,0.8600339,25,5.5005355,5.5005355,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.959297817,NA-ion_270040-1-2-63
72,0.8595706,25,5.5004773,5.5004773,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.958781044,NA-ion_270040-1-2-63
73,0.8588102,25,5.5005317,5.5005317,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.957932879,NA-ion_270040-1-2-63
74,0.8583561,25,5.5006061,5.5006061,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.957426368,NA-ion_270040-1-2-63
75,0.857892,25,5.5004978,5.5004978,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.956908702,NA-ion_270040-1-2-63
76,0.8572822,25,5.5005116,5.5005116,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.95622852,NA-ion_270040-1-2-63
77,0.8566703,25,5.5004997,5.5004997,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.955545995,NA-ion_270040-1-2-63
78,0.8560619,25,5.5005465,5.5005465,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.954867374,NA-ion_270040-1-2-63
79,0.8554472,25,5.5004992,5.5004992,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.954181727,NA-ion_270040-1-2-63
80,0.8549908,25,5.5005212,5.5005212,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.95367265,NA-ion_270040-1-2-63
81,0.8542271,25,5.500567,5.500567,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.952820804,NA-ion_270040-1-2-63
82,0.8537676,25,5.500535,5.500535,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.95230827,NA-ion_270040-1-2-63
83,0.8531581,25,5.5005255,5.5005255,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.951628422,NA-ion_270040-1-2-63
84,0.8525447,25,5.5005035,5.5005035,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.950944224,NA-ion_270040-1-2-63
85,0.8519395,25,5.5005484,5.5005484,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-2-63,0.950269173,NA-ion_270040-1-2-63
